archive.name, "Australian Bureau of Meteorology, Adelaide"
archive.host_country, AUS
platform.name, Adelaide Observatory
document.id_within_archive,"https://upload.wikimedia.org/wikipedia/commons/5/51/Todd_Weather_Folios_Early_chart_1879_Feb_15.jpg"
document.id_within_archive_type,URL
document.start_date, 1879-02-15
document.end_date, 1879-02-16
document.standardized_region_list, "south_pacific"
document.rights_statement, CC-BY
document.contact_person, Mac Benoy <mac.benoy@bom.gov.au>
document.notes, Imaged by the Todd folios project.
